product_sku,product_name,brand,tipo,unit,stock_current
SKU-7AA60686F3,Plumones Marcador 6 uni -,Faber Castell,Plumon,Unidad,1.0
SKU-54BDA3B77E,Plumones Marcador Fibre Tips - 12 uni,Faber Castell,Plumon,Unidad,2.0
SKU-3AD10ADE3E,Pompones,,,Unidad,13.0
SKU-5FE2F611DF,Portafolio Papel,,Portafolio,Unidad,11.0
SKU-3BE02203E7,posit cuadriculado,,,unidad,4.0
SKU-D9A535C356,Pozzis limpiatipo,,,Unidad,17.0
SKU-479171A7EE,Pulsera ojito,,,Unidad,8.0
SKU-8601F96067,Puntero,,,unidad,10.0
SKU-00358783C1,Ray Perú y Artesco,,Portafolio,Unidad,11.0
SKU-67EC263080,Regla expandible,,,unidad,2.0
SKU-FAB7A65F90,Reglas de 20 cm,Layconsa,Regla,Unidad,34.0
SKU-AB58B8B259,Reglas de 30 cm,Artesco,Regla,Unidad,48.0
SKU-657537C0BB,Resaltador,,,Unidad,14.0
SKU-250A95296D,Resaltador pastel x 6 und,,Resaltador,unidad,29.0
SKU-5253FC1878,Rompecabezas de 20 piesas,,Rompecabezas,Unidad,18.0
SKU-114F4CCCFD,Rompecabezas de 50 piesas,,Rompecabezas,Unidad,0.0
SKU-44D2FC2D50,rosas,,,unidad,15.0
SKU-383B65F71F,rosas con osito,,,unidad,8.0
SKU-0C2AB09E16,rositas x 3,,,unidad,12.0
SKU-A0151E5DAD,Saca Punta,Vinifan,Saca Punta,Unidad,24.0
SKU-403887F2ED,Saca Punta con Deposito,Artesco,Saca Punta,Unidad,0.0
SKU-D417DACFAA,Saca Punta con Deposito,Picaso,Saca Punta,Unidad,12.0
SKU-EAF5D42FCB,Saca Punta con Deposito,Oval,Saca Punta,Unidad,2.0
SKU-35AF7B573B,Saca Punta con Deposito 8917,Relampago,Saca Punta,Unidad,10.0
SKU-3F04396584,Saca Punta con M-207,,Saca Punta,Unidad,111.0
SKU-937E9BF695,Saca Punta M-557,Artesco,Saca Punta,Unidad,46.0
SKU-21586425F2,Saca Punta Metal,Artesco,Saca Punta,Unidad,15.0
SKU-D8FF390C71,Saca Punta Metal Doble,Artesco,Saca Punta,Unidad,19.0
SKU-B2904A3F21,serpentina,,,unidad,7.0
SKU-6549630E71,Set borradores rabbit y comida rapida x3,,,unidad,2.0
SKU-0B24D6F164,Set de borradores modelo oso queso x 3,,,unidad,0.0
SKU-64AF411C73,Set de escuadras kuromi,,,unidad,1.0
SKU-56432F1B7F,Set de resaltador pastel x 6,,,unidad,3.0
SKU-7EEE248D9B,Silicona delgada en barra,,silicona,unidad,36.0
SKU-B353E19BF7,Silicona en barrra,,,unidad,140.0
SKU-FEBDB0D6D3,Silicona liquida 100g,Layconsa,silicona,unidad,21.0
SKU-9A059C1BC2,Silicona liquida 250g,Layconsa,silicona,unidad,16.0
SKU-7CD255990C,silicona liquida pequeña,,,unidad,23.0
SKU-530AAFE75A,silvato pequeño,,,Unidad,9.0
SKU-FCEB95A265,Sketch book 15h,,SketchBook,Unidad,24.0
SKU-C2CDBEE0B5,Sketch book 25h,,Sketch Book,Unidad,10.0
SKU-D458444EA7,Sketch book 50h,,Sketch Book,Unidad,10.0
SKU-5AF26D5396,Sobre Manila A4 premium,,,Unidad,200.0
SKU-14F63E966D,Stiker cuaderno,,,unidad,87.0
SKU-BA9E6F373B,STIKER DE PRECIOS,,,unidad,9.0
SKU-5C73B60915,Stikers de Portada - Plancha,,,Unidad,76.0
SKU-448A8AC612,Stikers Have Love,,,Unidad,60.0
SKU-259711D0CD,Super esponja,,,Unidad,92.0
SKU-F8C11BD284,Tabla periodica,,,Unidad,13.0
SKU-0D608B9E69,Tableros Acrilicos,,,Unidad,3.0
SKU-398C843E98,Tamgram,,Juegos didacticos,unidad,2.0
SKU-C6455B5467,Tampon Negro,Artesco,Tampon,Unidad,1.0
SKU-846F88306F,Tampon Rojo L-T3,Layconsa,Tampon,Unidad,5.0
SKU-570671D729,Tapa boca negro,,,Unidad,25.0
SKU-5345D33C2E,Tapa boca pequeño,,,Unidad,50.0
SKU-16733DCBFC,Tapa boca pequeño rosado,,,Unidad,30.0
SKU-E4B751776A,tapitas de botella,,Juegos didacticos,unidad,60.0
SKU-4FD29741F2,taps,,,unidad,1148.0
SKU-8A83060E82,Tarjador animalitos,,,unidad,2.0
SKU-596614038E,Tarjadores,,Saca Punta,Unidad,18.0
SKU-58B59695F9,tasa con rosas,,,unidad,1.0
SKU-DFB871122D,Temperas x7,Layconsa,Tempera,Cajitas,12.0
SKU-7538FE51BC,Tijera Artesco mango goma,Artesco,Tijera,unidad,3.0
SKU-418AE7AD5C,Tijera Eco,Eco,Tijera,unidad,18.0
SKU-B0946D98AA,Tijera escolar,Layconsa,Tijera,unidad,3.0
SKU-B763AB4CA4,Tijeras Acolores,,Tijera,Unidad,13.0
SKU-55A37B661F,Tijeras amarillas,,Tijera,Unidad,8.0
SKU-0FC7E58E52,Tijeras R-Relampago con formas,,Tijera,Unidad,12.0
SKU-980BA39232,tiros,,,unidad,200.0
SKU-FA80AA5B55,Toalla con diseño,,Toallas,Unidad,9.0
SKU-A292B4DE9C,Toalla sin diseño,,Toallas,Unidad,11.0
SKU-9F897FBDE0,Tomatodo Grande,Artesco,,Unidad,3.0
SKU-9A43DE1973,Tomatodo Mediano tricolor,,,Unidad,14.0
SKU-31ACA0DEE5,Tomatodo pequeño,,,Unidad,5.0
SKU-3F113AD6D9,Trish,,,Unidad,123.0
SKU-35F30621F4,trompos,,,Unidad,0.0
SKU-E4F5832814,ula ula,,,unidad,0.0
SKU-232269CDDF,Vaso de plastico,,,unidad,16.0
SKU-C9F006ABBA,vedhiculo constructor 077-31,,Juguetes,Unidad,2.0
SKU-5228AD825B,Vehiculo constructor 5468,,Juguetes,Unidad,6.0
SKU-A37A3F0DA8,Vehiculo Constructor 677-42A,,Juguetes,Unidad,4.0
SKU-1AE47B4AA5,vincha 104,,,Unidad,5.0
