product_sku,product_name,brand,tipo,unit,stock_current,qty_sold_total,sales_total,cost_total,profit_total,price_variants_count,price_variants
SKU-FF0A8D4DCB,Plastilina,Layconsa,plastilina,Unidad,25.0,11.0,60.5,32.0833,28.4167,1,5.5
SKU-039AB24A72,Platilina ultra suave x6,Artesco,plastilina,unidad,4.0,2.0,36.0,5.1667,30.8333,1,18.0
SKU-FEE239E19B,Plumon Acrilico L-123,Layconsa,Plumon,Unidad,80.0,28.0,70.0,35.0,35.0,1,2.5
SKU-DCB1B82D14,Plumon de pizarra vikingo x12,,,unidad,31.0,5.0,10.0,4.5833,5.4167,1,2.0
SKU-BA273CD9CC,Plumon indeleble azul y negro,Eco,Plumon,unidad,21.0,3.0,7.5,2.5,5.0,1,2.5
SKU-7AA172D62E,Plumon Jumbo 123,Faber Castell,Plumon,Unidad,18.0,6.0,30.0,18.75,11.25,1,5.0
SKU-78B895FADB,Plumon L-47 papel,Layconsa,Plumon,unidad,25.0,11.0,22.0,16.5,5.5,1,2.0
SKU-6381846E56,Plumon marcador Jumbo L-47 x12,Layconsa,Plumon,Unidad,1.0,8.0,120.0,88.0,32.0,1,15.0
SKU-2606E9183E,Plumon Pizzarra,Arteza,Plumon,Unidad,23.0,1.0,3.5,2.0,1.5,1,3.5
SKU-1C8518A3F6,Plumon school L-45 x 12,Layconsa,Plumon,unidad,6.0,6.0,42.0,29.0,13.0,1,7.0
SKU-7AA60686F3,Plumones Marcador 6 uni -,Faber Castell,Plumon,Unidad,1.0,1.0,5.0,4.0,1.0,1,5.0
SKU-54BDA3B77E,Plumones Marcador Fibre Tips - 12 uni,Faber Castell,Plumon,Unidad,2.0,4.0,32.0,12.6667,19.3333,1,8.0
SKU-3AD10ADE3E,Pompones,,,Unidad,13.0,1.0,3.5,0.0,3.5,1,3.5
SKU-5FE2F611DF,Portafolio Papel,,Portafolio,Unidad,11.0,3.0,25.0,16.0,9.0,2,8.0|9.0
SKU-D9A535C356,Pozzis limpiatipo,,,Unidad,17.0,3.0,12.0,5.4833,6.5167,1,4.0
SKU-479171A7EE,Pulsera ojito,,,Unidad,8.0,3.0,4.5,1.9091,2.5909,1,1.5
SKU-8601F96067,Puntero,,,unidad,10.0,2.0,7.0,5.6667,1.3333,1,3.5
SKU-00358783C1,Ray Perú y Artesco,,Portafolio,Unidad,11.0,10.0,100.0,53.3333,46.6667,1,10.0
SKU-67EC263080,Regla expandible,,,unidad,2.0,1.0,6.0,3.0,3.0,1,6.0
SKU-FAB7A65F90,Reglas de 20 cm,Layconsa,Regla,Unidad,34.0,4.0,4.0,2.2316,1.7684,1,1.0
SKU-AB58B8B259,Reglas de 30 cm,Artesco,Regla,Unidad,48.0,1.0,1.5,0.6408,0.8592,1,1.5
SKU-657537C0BB,Resaltador,,,Unidad,14.0,4.0,10.0,5.3333,4.6667,1,2.5
SKU-250A95296D,Resaltador pastel x 6 und,,Resaltador,unidad,29.0,7.0,14.0,5.8333,8.1667,1,2.0
SKU-5253FC1878,Rompecabezas de 20 piesas,,Rompecabezas,Unidad,18.0,5.0,50.0,29.1304,20.8696,1,10.0
SKU-114F4CCCFD,Rompecabezas de 50 piesas,,Rompecabezas,Unidad,0.0,1.0,15.0,15.0,0.0,1,15.0
SKU-44D2FC2D50,rosas,,,unidad,15.0,9.0,9.0,3.375,5.625,1,1.0
SKU-383B65F71F,rosas con osito,,,unidad,8.0,4.0,16.0,10.0,6.0,1,4.0
SKU-403887F2ED,Saca Punta con Deposito,Artesco,Saca Punta,Unidad,0.0,3.0,10.5,6.0,4.5,1,3.5
SKU-EAF5D42FCB,Saca Punta con Deposito,Oval,Saca Punta,Unidad,2.0,10.0,20.0,10.0,10.0,1,2.0
SKU-35AF7B573B,Saca Punta con Deposito 8917,Relampago,Saca Punta,Unidad,10.0,2.0,4.0,2.0,2.0,1,2.0
SKU-3F04396584,Saca Punta con M-207,,Saca Punta,Unidad,111.0,7.0,3.5,1.7797,1.7203,1,0.5
SKU-937E9BF695,Saca Punta M-557,Artesco,Saca Punta,Unidad,46.0,2.0,4.0,1.3333,2.6667,1,2.0
SKU-B2904A3F21,serpentina,,,unidad,7.0,5.0,7.5,5.0,2.5,1,1.5
SKU-6549630E71,Set borradores rabbit y comida rapida x3,,,unidad,2.0,1.0,5.0,3.4,1.6,1,5.0
SKU-0B24D6F164,Set de borradores modelo oso queso x 3,,,unidad,0.0,1.0,4.0,2.7,1.3,1,4.0
SKU-64AF411C73,Set de escuadras kuromi,,,unidad,1.0,3.0,18.0,9.0,9.0,1,6.0
SKU-7EEE248D9B,Silicona delgada en barra,,silicona,unidad,36.0,110.0,55.0,25.6164,29.3836,1,0.5
SKU-FEBDB0D6D3,Silicona liquida 100g,Layconsa,silicona,unidad,21.0,3.0,13.5,9.0,4.5,1,4.5
SKU-9A059C1BC2,Silicona liquida 250g,Layconsa,silicona,unidad,16.0,8.0,56.0,40.0,16.0,1,7.0
SKU-7CD255990C,silicona liquida pequeña,,,unidad,23.0,1.0,1.5,1.0833,0.4167,1,1.5
SKU-C2CDBEE0B5,Sketch book 25h,,Sketch Book,Unidad,10.0,4.0,18.0,10.6571,7.3429,1,4.5
SKU-D458444EA7,Sketch book 50h,,Sketch Book,Unidad,10.0,5.0,40.0,40.0,0.0,1,8.0
SKU-5AF26D5396,Sobre Manila A4 premium,,,Unidad,200.0,25.0,25.0,11.1111,13.8889,1,1.0
SKU-14F63E966D,Stiker cuaderno,,,unidad,87.0,153.0,30.6,11.475,19.125,1,0.2
SKU-BA9E6F373B,STIKER DE PRECIOS,,,unidad,9.0,3.0,6.0,3.0,3.0,1,2.0
SKU-5C73B60915,Stikers de Portada - Plancha,,,Unidad,76.0,20.0,4.0,2.5,1.5,1,0.2
SKU-448A8AC612,Stikers Have Love,,,Unidad,60.0,40.0,40.0,19.2,20.8,1,1.0
SKU-259711D0CD,Super esponja,,,Unidad,92.0,4.0,4.0,1.8333,2.1667,1,1.0
SKU-F8C11BD284,Tabla periodica,,,Unidad,13.0,2.0,3.0,1.3333,1.6667,1,1.5
SKU-398C843E98,Tamgram,,Juegos didacticos,unidad,2.0,4.0,48.0,26.0,22.0,1,12.0
SKU-C6455B5467,Tampon Negro,Artesco,Tampon,Unidad,1.0,2.0,10.0,6.0,4.0,1,5.0
SKU-E4B751776A,tapitas de botella,,Juegos didacticos,unidad,60.0,40.0,8.0,3.6,4.4,1,0.2
SKU-8A83060E82,Tarjador animalitos,,,unidad,2.0,1.0,6.0,4.2,1.8,1,6.0
SKU-58B59695F9,tasa con rosas,,,unidad,1.0,2.0,40.0,26.0,14.0,1,20.0
SKU-DFB871122D,Temperas x7,Layconsa,Tempera,Cajitas,12.0,9.0,63.0,45.0,18.0,1,7.0
SKU-7538FE51BC,Tijera Artesco mango goma,Artesco,Tijera,unidad,3.0,3.0,24.0,19.5,4.5,1,8.0
SKU-418AE7AD5C,Tijera Eco,Eco,Tijera,unidad,18.0,6.0,9.0,4.0,5.0,1,1.5
SKU-B0946D98AA,Tijera escolar,Layconsa,Tijera,unidad,3.0,9.0,27.0,15.0,12.0,1,3.0
SKU-B763AB4CA4,Tijeras Acolores,,Tijera,Unidad,13.0,4.0,6.0,2.4941,3.5059,1,1.5
SKU-55A37B661F,Tijeras amarillas,,Tijera,Unidad,8.0,2.0,3.0,1.25,1.75,1,1.5
SKU-FA80AA5B55,Toalla con diseño,,Toallas,Unidad,9.0,7.0,35.0,25.0,10.0,1,5.0
SKU-A292B4DE9C,Toalla sin diseño,,Toallas,Unidad,11.0,10.0,40.0,18.6,21.4,1,4.0
SKU-9F897FBDE0,Tomatodo Grande,Artesco,,Unidad,3.0,1.0,15.0,12.0,3.0,1,15.0
SKU-9A43DE1973,Tomatodo Mediano tricolor,,,Unidad,14.0,1.0,15.0,12.0,3.0,1,15.0
SKU-31ACA0DEE5,Tomatodo pequeño,,,Unidad,5.0,2.0,20.0,14.0,6.0,1,10.0
SKU-3F113AD6D9,Trish,,,Unidad,123.0,9.0,4.5,2.7,1.8,1,0.5
SKU-35F30621F4,trompos,,,Unidad,0.0,16.0,16.0,10.6,5.4,1,1.0
SKU-E4F5832814,ula ula,,,unidad,0.0,2.0,10.0,8.0,2.0,1,5.0
SKU-232269CDDF,Vaso de plastico,,,unidad,16.0,8.0,12.0,6.6667,5.3333,1,1.5
SKU-A37A3F0DA8,Vehiculo Constructor 677-42A,,Juguetes,Unidad,4.0,1.0,15.0,11.0,4.0,1,15.0
