supplier_name,supplier_code,purchase_batch,product_sku,product_name,unit,qty,cost_unit,total_cost,etiqueta_nuevo
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-D9A535C356,Pozzis limpiatipo,Unidad,8.0,1.825,14.6,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-448A8AC612,Stikers Have Love,Unidad,50.0,0.48,24.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-719315C9EF,Nombre de cuaderno,Unidad,100.0,0.1,10.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-5C73B60915,Stikers de Portada - Plancha,Unidad,4.0,3.0,12.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-0D608B9E69,Tableros Acrilicos,Unidad,3.0,7.0,21.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-FCEB95A265,Sketch book 15h,Unidad,24.0,2.166667,52.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-C2CDBEE0B5,Sketch book 25h,Unidad,14.0,2.664286,37.3,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-D458444EA7,Sketch book 50h,Unidad,15.0,8.0,120.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-F8C11BD284,Tabla periodica,Unidad,15.0,0.666667,10.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-D15BAC6AB0,Cometas,Unidad,15.0,0.0,0.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-CC77E1CB6E,Banderas,Unidad,6.0,0.0,0.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,Unidad,14.0,0.8,11.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-5CE02680E1,Folder Manila A4,Paquete,16.0,6.75,108.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-92E9FC0267,Folder Top,Unidad,45.0,2.666667,120.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-807FCCA0D5,Folder Genius,Unidad,2.0,2.67,5.34,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-A95695902B,Folder Vinifan,Unidad,6.0,2.67,16.02,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-80F3629E6F,Folder a color de cartulina,Unidad,73.0,0.36,26.28,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-0FC7E58E52,Tijeras R-Relampago con formas,Sobre,1.0,20.0,20.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-B763AB4CA4,Tijeras Acolores,Unidad,17.0,0.623529,10.6,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-55A37B661F,Tijeras amarillas,Unidad,10.0,0.625,6.25,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-980649732C,Cuadernillo de anotes pequeño,Unidad,4.0,1.0,4.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-BFF6AAF2E2,Cuadernillo de anotes grande,Unidad,6.0,2.0,12.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-6883152A26,Libro de actas 200f,Unidad,2.0,7.2,14.4,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-894F4DE5BD,Libro de actas 100f,Unidad,1.0,3.7,3.7,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-B2BE8E20C5,Obras Literarias,Unidad,5.0,3.5,17.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-3B45C1A452,Diccionario Bruno Ingles,Unidad,4.0,7.5,30.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-8B83AAD0BD,Diccionario Bruno Sinonimos Antonimos,Unidad,16.0,7.5,120.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-163DD0A3EC,Diccionario Bruno,Unidad,8.0,7.0,56.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-26FF8F2A26,Jabon liquido grande,Unidad,27.0,4.0,108.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-C2A71FB517,Jabon liquido pequeño,Unidad,19.0,3.331579,63.3,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-EEDF6B72FC,Jaboneras,Unidad,4.0,1.0,4.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-B3C78D2293,Escobilla Grande de Zapato,Unidad,2.0,1.3,2.6,
