supplier_name,supplier_code,purchase_batch,product_sku,product_name,unit,qty,cost_unit,total_cost,etiqueta_nuevo
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-B1B6F52169,papel toalla,Paquete,1.0,25.0,25.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8EC5F5CD1C,cepillo colgate,Paquete,1.0,28.0,28.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8D86A147F9,Plumon fabercito de 10 und,Unidad,6.0,4.0,24.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-B298BDA13D,Lapicero brillante x12 und,Unidad,12.0,3.333333,40.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-B2F5C02F79,Lapicero a color x 12 und,Unidad,6.0,4.0,24.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-250A95296D,Resaltador pastel x 6 und,Unidad,6.0,5.0,30.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8D8B2631DB,Pelotas de trapo,Unidad,12.0,0.75,9.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-77F19E15CF,Pasta dental,Unidad,12.0,2.833333,34.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-81B56FA010,jaboncillo camai,Unidad,12.0,2.5,30.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8BE215E80A,Lapicero kawai x 10,Unidad,3.0,4.0,12.0,
