sale_ref,customer_code,customer_name,product_sku,product_name,brand,tipo,unit,qty,price_unit,line_total,cost_total,profit_total,weeks
VENTA-2025-0100,CLI-2025,clients-2025,SKU-5FE2F611DF,Portafolio Papel,,Portafolio,Unidad,1.0,9.0,9.0,6.0,3.0,SEMANA-3-B
VENTA-2025-0101,CLI-2025,clients-2025,SKU-60D09319A8,Lapicero Trilux Negro-032,Faber Castell,Lapicero,Unidad,4.0,1.0,4.0,1.76,2.24,SEMANA-3-A
VENTA-2025-0102,CLI-2025,clients-2025,SKU-610A957481,Forro Vinifan Grande OM,Perufan,Forro Vinifan,Unidad,2.0,7.0,14.0,14.0,0.0,SEMANA-1-A
VENTA-2025-0103,CLI-2025,clients-2025,SKU-6381846E56,Plumon marcador Jumbo L-47 x12,Layconsa,Plumon,Unidad,8.0,15.0,120.0,88.0,32.0,"SEMANA-1-A,SEMANA-1-B,SEMANA-2-B"
VENTA-2025-0104,CLI-2025,clients-2025,SKU-64AF411C73,Set de escuadras kuromi,,,unidad,3.0,6.0,18.0,9.0,9.0,"SEMANA-1-A,SEMANA-2-A"
VENTA-2025-0105,CLI-2025,clients-2025,SKU-6549630E71,Set borradores rabbit y comida rapida x3,,,unidad,1.0,5.0,5.0,3.4,1.6,SEMANA-1-A
VENTA-2025-0106,CLI-2025,clients-2025,SKU-657537C0BB,Resaltador,,,Unidad,4.0,2.5,10.0,5.3333,4.6667,SEMANA-1-A
VENTA-2025-0107,CLI-2025,clients-2025,SKU-65B092F11F,cholito,,,unidad,2.0,3.5,7.0,4.0,3.0,SEMANA-3-A
VENTA-2025-0108,CLI-2025,clients-2025,SKU-65B593846C,colet negros,,,Paquete,3.0,2.0,6.0,3.0,3.0,"SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0109,CLI-2025,clients-2025,SKU-66529C0038,Dados Grandes,,Juegos didacticos,unidad,9.0,1.0,9.0,2.25,6.75,SEMANA-1-A
VENTA-2025-0110,CLI-2025,clients-2025,SKU-67CEA9B1B6,forro artesco,Artesco,Forro Vinifan,unidad,6.0,3.5,21.0,14.0,7.0,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0111,CLI-2025,clients-2025,SKU-67EC263080,Regla expandible,,,unidad,1.0,6.0,6.0,3.0,3.0,SEMANA-1-A
