excel_sheet,excel_row,id_articulo_excel,etiqueta_nuevo,tipo,marca,nombre,cantidad_count,unidad_medida,precio_inicial,costo_total,precio_por_unidad,precio_venta_sugerido
Hoja 4,186,,False,,,Cinta navideña,1.0,Unidad,8.0,8.0,8.0,12.0
Hoja 4,187,,False,,,guillet,9.0,Cajitas,1.5,13.5,0.3,0.5
Hoja 4,188,NUEVO,True,Plumon,Layconsa,Plumon marcador Jumbo L-47 x12,6.0,Unidad,11.0,66.0,11.0,15.0
Hoja 4,189,,False,Juguetes,,Cuatrimoto 876/886,10.0,Unidad,8.0,80.0,8.0,12.0
Hoja 4,190,,False,Juguetes,,Camion con toro CMN12,3.0,Unidad,7.0,21.0,7.0,12.0
Hoja 4,191,,False,Juguetes,,Vehiculo Constructor 677-42A,5.0,Unidad,11.0,55.0,11.0,15.0
Hoja 4,192,,False,Juguetes,,vedhiculo constructor 077-31,2.0,Unidad,7.0,14.0,7.0,10.0
Hoja 4,193,,False,Juguetes,,Vehiculo constructor 5468,6.0,Unidad,6.0,36.0,6.0,12.0
Hoja 4,194,,False,Juguetes,,Pelota,4.0,Unidad,9.0,36.0,9.0,13.0
Hoja 4,195,,False,Juguetes,,Camion Ciguena3983 A,2.0,Unidad,8.0,16.0,8.0,12.0
Hoja 4,196,,False,Juguetes,,muñeca 2610,11.0,Unidad,8.0,88.0,8.0,12.0
Hoja 4,197,,False,Juguetes,,muñeca con accesorios 8280,5.0,Unidad,13.0,65.0,13.0,16.0
Hoja 4,198,,False,Juguetes,,muñeca con accesorios LY 2310,5.0,Unidad,12.0,60.0,12.0,16.0
Hoja 4,199,,False,Juguetes,,muñeca con accesorios 8260,1.0,Unidad,6.5,6.5,6.5,9.0
Hoja 4,200,,False,Juguetes,,control remoto carro CQ0085-2,1.0,Unidad,25.0,25.0,25.0,30.0
Hoja 4,201,,False,,,vincha 104,5.0,Unidad,1.0,5.0,1.0,1.5
Hoja 4,202,,False,,,colet negros,6.0,Paquete,1.0,6.0,1.0,2.0
Hoja 4,203,,False,,,gancho picos de colores,11.0,Unidad,0.6363636364,7.0,0.6363636364,1.0
Hoja 4,204,,False,,,paquete de ganchos de 6 pares,6.0,Paquete,1.5,9.0,0.125,0.5
Hoja 4,205,,False,,,moñeras,28.0,Unidad,0.5357142857,15.0,0.5357142857,1.0
Hoja 4,206,,False,,,liga para cabello,3.0,Paquete,1.0,3.0,1.0,2.0
Hoja 4,207,,False,,,liga de lana,1.0,Paquete,1.5,1.5,1.5,2.5
Hoja 4,208,,False,,,pirañas grandes,9.0,Unidad,1.5,13.5,1.5,1.5
Hoja 4,209,,False,,,pares de pilis,5.0,pares,0.3,1.5,0.3,0.5
Hoja 4,210,,False,,,pinza de 12 und,2.0,Paquete,8.0,16.0,0.6666666667,1.0
Hoja 4,211,,False,,,Espejo Pequeño,6.0,Unidad,0.5,3.0,0.5,1.0
Hoja 4,212,,False,,,Espejo Mediano,2.0,Unidad,0.7,1.4,0.7,1.0
Hoja 4,213,,False,,,Guantes,8.0,pares,2.2,17.6,2.2,3.0
Hoja 4,214,,False,,,Tapa boca negro,25.0,Unidad,0.1,2.5,0.1,0.5
Hoja 4,215,,False,,,Tapa boca pequeño,50.0,Unidad,0.08,4.0,0.08,0.5
Hoja 4,216,,False,,,Tapa boca pequeño rosado,30.0,Unidad,0.08333333333,2.5,0.08333333333,0.5
Hoja 4,217,,False,,,Peine Pequeño,25.0,Unidad,0.24,6.0,0.24,0.8
Hoja 4,218,,False,,,Peine grande,11.0,Unidad,0.5,5.5,0.5,1.0
Hoja 4,219,,False,,,Peine con cola,10.0,Unidad,0.5,5.0,0.5,1.0
Hoja 4,220,,False,,,Pulsera ojito,11.0,Unidad,0.6363636364,7.0,0.6363636364,1.5
Hoja 4,221,,False,,,crema lechuga pequeño,10.0,Unidad,0.5,5.0,0.5,1.0
Hoja 4,222,,False,,,Crema Baselina,5.0,Unidad,0.5,2.5,0.5,1.0
Hoja 4,223,,False,,,Crema Lechuga grande,4.0,Unidad,1.0,4.0,1.0,2.0
Hoja 4,224,NUEVO,True,,,Lana de colores,8.0,Unidad,0.5,4.0,0.5,1.0
Hoja 4,225,,False,,,silvato pequeño,9.0,Unidad,0.2,1.8,0.2,0.5
Hoja 4,226,,False,,,Crema ponst,9.0,Unidad,0.5555555556,5.0,0.5555555556,1.0
Hoja 4,227,,False,,,llajes grande,14.0,Unidad,2.3,32.2,2.3,3.5
Hoja 4,228,,False,,,trompos,16.0,Unidad,0.6625,10.6,0.6625,1.0
Hoja 4,229,,False,,,taps,100.0,,0.0,0.0,0.0,0.0
Hoja 4,230,,False,,,pelotitas de llajes,41.0,,0.0,0.0,0.0,0.0
Hoja 4,231,,False,,,chapitas,71.0,,0.0,0.0,0.0,0.0
Hoja 4,232,,False,,,llajes pequeños,100.0,,0.0,0.0,0.0,0.0
Hoja 4,233,,False,,,papel silufan,9.0,,0.4333333333,3.9,0.4333333333,1.0
Hoja 4,234,,False,,,ula ula,2.0,,4.0,8.0,4.0,5.0
Hoja 4,235,,False,cuadernos,loro,cuaderno loro con  diseño A4 100h,47.0,Unidad,3.978723404,187.0,3.978723404,6.0
Hoja 4,236,,False,cuadernos,surco,cuaderno surco con diseño A4 100h,20.0,Unidad,2.34,46.8,2.34,5.0
Hoja 4,237,,False,cuadernos,Surco,cuaderno surco pequeño 50  h,103.0,Unidad,1.0,103.0,1.0,1.5
Hoja 4,238,,False,cuadernos,Surco,cuaderno surco pqueño 100 h,61.0,Unidad,1.4,85.4,1.4,2.5
Hoja 4,239,,False,cuadernos,loro,cuaderno loro kinder 70 g,45.0,Unidad,3.9,175.5,3.9,6.0
Hoja 4,240,,False,cuadernos,Surco,Cuaderno surco triple reglon 100 h,80.0,Unidad,2.3025,184.2,2.3025,4.0
Hoja 4,241,,False,cuadernos,Surco,cuaderno surco # 100 h,25.0,Unidad,2.34,58.5,2.34,4.0
Hoja 4,242,,False,cuadernos,Layconsa,cuaderno layconsa teens # 100 h,62.0,Unidad,3.6,223.2,3.6,4.5
Hoja 4,243,,False,cuadernos,Surco,cuaderno surco grnade # 50 h,27.0,Unidad,1.4,37.8,1.4,2.5
Hoja 4,244,,False,cuadernos,Surco,cuaderno surco 1x1,18.0,Unidad,2.34,42.12,2.34,4.0
Hoja 4,245,,False,cuadernos,Layconsa,cuaderno layconsa teens triple reglon,23.0,Unidad,3.6,82.8,3.6,4.5
Hoja 4,246,,False,cuadernos,Surco,cuaderno surco 2x2,26.0,Unidad,2.338461538,60.8,2.338461538,4.0
Hoja 4,247,,False,cuadernos,Layconsa,cuaderno layconsa estudiante # 100 h,27.0,Unidad,4.0,108.0,4.0,6.0
Hoja 4,248,,False,cuadernos,Surco,cuaderno surco rayado 100 h,22.0,Unidad,2.34,51.48,2.34,4.0
Hoja 4,249,,False,cuadernos,Layconsa,cuaderno layconsa puppy # 100 h,18.0,Unidad,4.3,77.4,4.3,6.0
Hoja 4,250,,False,cuadernos,"stanford,","cuaderno stanford,universal, collaje #",11.0,Unidad,5.0,55.0,5.0,8.0
Hoja 4,251,,False,cuadernos,"stanford,",cuaderno stanford kist triple max,6.0,Unidad,5.0,30.0,5.0,8.0
Hoja 4,252,,False,cuadernos,Layconsa,cuaderno layconsa estudiante rayado 100 h,11.0,Unidad,2.145454545,23.6,2.145454545,4.5
Hoja 4,253,,False,cuadernos,universal,cuadernouniversal 1x1,5.0,Unidad,5.0,25.0,5.0,8.0
Hoja 4,254,,False,cuadernos,arcoiris,cuaderno arcoiris triple reglon,6.0,Unidad,2.3,13.8,2.3,4.0
