product_id,sku,name,brand,product_type,status,suggested_category,score,reason
24f94d48-d636-405f-aa75-fb4802b9279b,SKU-EEDF6B72FC,Jaboneras,,,pending_manual,,,
726f74a2-5edb-4088-be76-398eb21160c3,SKU-8130CA3015,Lana de colores,,,review_low_confidence,Colores,3,phrase_match
68d772c5-2a5d-4fe6-bda8-f9f4b5a3da62,SKU-0202856B37,Lapicero a Color Escarchado,,,assign_high_confidence,Lapicero,5,phrase_match
f473c6e8-7ff9-41e0-a167-b52d620cad68,SKU-04E6FF7B12,Lapicero borrable conejo,,,assign_high_confidence,Lapicero,5,phrase_match
bd7096f9-c5ae-4b1d-8206-c451ac28dcce,SKU-CFBA4FF0E5,Lapicero borrrable chocolate osito,,,assign_high_confidence,Lapicero,5,phrase_match
ac8f6992-de45-4771-8d21-749ac9bba598,SKU-8BE215E80A,Lapicero kawai x 10,,,assign_high_confidence,Lapicero,5,phrase_match
f56b5599-45ea-415a-8e51-e37fc563aa6e,SKU-41BFC833EE,"Lapicero L35 - Azul, Rojo",Layconsa,,assign_high_confidence,Lapicero,5,phrase_match
f67391be-247d-4b77-ab11-938c727e81e7,SKU-145EBEB2A3,Lapicero tinta gel con orejitas,,,assign_high_confidence,Lapicero,5,phrase_match
e516baa1-7d41-44dc-bc55-ba4a44dea35a,SKU-0868F564AF,lapiceros capibara,,,assign_high_confidence,Lapicero,5,phrase_match
559ec6b0-e2fd-4f87-8261-81337093f0bf,SKU-64BDAEE8CD,lapiceros happy,,,assign_high_confidence,Lapicero,5,phrase_match
543d5cf0-d4ac-4cf7-9d16-6242829412c7,SKU-44763E1EDC,lapiceros kuromi,,,assign_high_confidence,Lapicero,5,phrase_match
68970d90-d612-4921-a980-c34f2e031f39,SKU-B8814F277F,lapiceros osito,,,assign_high_confidence,Lapicero,5,phrase_match
1c6996b6-1336-4285-8049-2f17e5192b18,SKU-8C03C7B0A4,lapiz con diseño,,,assign_high_confidence,Lapiz,5,phrase_match
147c7e6e-8ef6-4448-b49a-af8d9410fd8f,SKU-3D1BE72419,Lentejuelas grandes,,,pending_manual,,,
e58d38de-4912-45ea-86fc-3b3a63dada51,SKU-4B882EFB24,Lentejuelas JhinPequeñas,,,pending_manual,,,
1401731a-760e-43ff-89b1-1c5f74aea581,SKU-894F4DE5BD,Libro de actas 100f,,,assign_new_category,Libro,,name_cluster
0fe0e12f-3d3a-4e3f-b0d7-09065c185042,SKU-6883152A26,Libro de actas 200f,,,assign_new_category,Libro,,name_cluster
36e2c3b4-adc6-41ff-85d6-3604d8236bb9,SKU-FE809B4294,Libro de Cuentos,,,assign_new_category,Libro,,name_cluster
42d4b0a3-6117-44a3-9501-49e94aa49502,SKU-676E05737E,liga de lana,,,pending_manual,,,
41799b6b-b208-4da1-8ff9-c9d635c34e47,SKU-3198E087D3,liga para cabello,,,pending_manual,,,
0af0ed11-8fbf-40b1-9ecd-b978feaf6066,SKU-371E102C11,llajes grande,,,pending_manual,,,
a04d1600-efc6-4a52-8dad-e0dad6eea9ef,SKU-C61C6AC664,llajes pequeños,,,pending_manual,,,
42d7249c-320a-4983-8c06-c4bdf7e02781,SKU-D7B21404F3,Llavero capibara monedero,,,pending_manual,,,
95bc77db-fcb4-438e-938e-44f76d8732ff,SKU-4D785AB75B,Llavero capibara televisor,,,pending_manual,,,
2e2e346f-f0b1-4b9a-bc9c-1445da26a3a3,SKU-06298A559F,loncheras,,,pending_manual,,,
9a2e9fab-1809-4bf7-a938-3aad5cda367b,SKU-5B234D9B53,Luces de colors 200 leds,,,pending_manual,,,
95a91474-fd50-4a6a-bf04-7fcafd255c31,SKU-1A61EF5307,Meseros Personales - Niños,,,pending_manual,,,
751bc068-7f19-4fc9-8c51-e0a6632cc8bc,SKU-0F68E2EC13,Micas A4,Artesco,,pending_manual,,,
445ae7c2-4ccf-4647-bfa8-f7477bf95e90,SKU-A8C9B88E81,micas con diseño,,,pending_manual,,,
c18d509c-6181-4211-a8b2-4e673d3cd696,SKU-93E5BF3071,Microporoso escarchado A4,,,pending_manual,,,
f2dbbac0-e4fb-4293-8fe8-1bc579c39023,SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,,,pending_manual,,,
195fdf6b-3c4c-4510-bffb-27702aed882f,SKU-E541A2F517,Mistura Amarilla,,,pending_manual,,,
d7ffbc82-cb9d-45ea-8de8-5fbcefe7445f,SKU-45575800B4,Mistura de Color,,,review_low_confidence,Colores,3,phrase_match
831a4fae-c5a2-44aa-bad4-88c8175cca16,SKU-COMP-AYR-002-MOL2,Molde #2,,,assign_new_category,Molde,,name_cluster
f90108dd-254a-4a7a-ab86-8647eee7c901,SKU-COMP-AYR-002-MOL5,Molde #5,,,assign_new_category,Molde,,name_cluster
dab5ebcf-4a01-476a-b034-0249d8973269,SKU-COMP-AYR-002-MOL6,Molde #6,,,assign_new_category,Molde,,name_cluster
b8245c2e-fbbd-4f66-9c2f-c9fed0570196,SKU-COMP-AYR-002-MOL7,Molde #7,,,assign_new_category,Molde,,name_cluster
4da70132-32ac-4735-bec6-496761b2c7d8,SKU-12188D3F87,moñeras,,,pending_manual,,,
b9a23698-f5f9-446f-b246-36c4c6681cbf,SKU-719315C9EF,Nombre de cuaderno,,,assign_high_confidence,Cuaderno,5,phrase_match
0d0561f1-bada-48c7-a126-255244f53bc2,SKU-D0B9BAA1A3,Ojitos,,,pending_manual,,,
6b2a6284-4cf4-407d-a5ca-59b36504012c,SKU-A4C46F4DA5,Papel microporoso liso,,,review_low_confidence,Papel,3,phrase_match
29ac5ed8-c0cf-42f8-a5fc-a83745afa40b,SKU-D80DB7710E,papel sedita,,,review_low_confidence,Papel,3,phrase_match
e8bf5d65-2a4e-4360-8429-c1b7d0e2266a,SKU-FD56706B4D,papel silufan,,,review_low_confidence,Papel,3,phrase_match
75100055-2fe5-4092-abd7-d69bef82d764,SKU-4EE3C50F1D,Papel suave higienico,,,review_low_confidence,Papel,3,phrase_match
c16b366a-1805-4c4d-a89b-612f292eeb15,SKU-B1B6F52169,papel toalla,,,assign_high_confidence,Toalla,5,phrase_match
2412dfda-6042-4c83-9d6a-45ae96cec06b,SKU-105EDC100D,paquete de ganchos de 6 pares,,,assign_new_category,Gancho,,name_cluster
e9dc096c-33e3-43ad-bb7a-b4e07facd7bf,SKU-B513B72D31,pares de pilis,,,pending_manual,,,
c8870ffd-6348-4632-9aff-c085e6bb3e44,SKU-77F19E15CF,Pasta dental,,,pending_manual,,,
6855b445-756f-42dc-9163-b3b1744faabc,SKU-CD3F82FF5C,Peine con cola,,,assign_new_category,Peine,,name_cluster
a5014b03-8f55-4185-a52d-b7ca96fb0276,SKU-BEC3F203A0,Peine grande,,,assign_new_category,Peine,,name_cluster
b8900e6b-0e4f-42dd-b91d-cb1fb8ac64ba,SKU-DFEAA60E9C,Peine Pequeño,,,assign_new_category,Peine,,name_cluster
bdbfbcdc-b8b0-45bc-bbe5-422295604a51,SKU-8D8B2631DB,Pelotas de trapo,,,pending_manual,,,
a43d2721-124d-4f56-b740-3229397d9f62,SKU-D5444E56E1,pelotitas de llajes,,,pending_manual,,,
cc2b0179-5c51-4565-ad53-c5abbc72d3d5,SKU-94488B3896,Percheros,,,pending_manual,,,
00874705-71d7-4f83-9f7c-1b17bfca8f65,SKU-2BEED389E4,perlas adornos,,,pending_manual,,,
1ca7d2bf-9e41-4d9f-b7f5-c6ccd1c41951,SKU-C34DBFF5C5,Pincel Sobre,,,assign_high_confidence,Pincel,5,phrase_match
e89c9649-337f-4006-9ec5-5b2c17bb557a,SKU-2B270DE01B,Piñes de Decoración,,,pending_manual,,,
210f4db7-ba28-4136-b97a-a698b189b62b,SKU-AF85D08933,pinza de 12 und,,,pending_manual,,,
78885ee3-6638-4b42-b10d-c53615251730,SKU-0C7D0AC4E6,pirañas grandes,,,pending_manual,,,
9665461f-5e89-4e92-b634-d0c9a95a4d74,SKU-COMP-AYR-002-PL47FC,Plumón L-47 Papel,Faber Castell,,assign_high_confidence,Plumon,5,phrase_match
59046d59-4875-4b1d-bcc2-9aa5118dc075,SKU-3AD10ADE3E,Pompones,,,pending_manual,,,
0794efad-7cf1-4a43-b016-280fe88ad516,SKU-3BE02203E7,posit cuadriculado,,,pending_manual,,,
5138ecb3-3dae-46ae-b20f-4300313016af,SKU-D9A535C356,Pozzis limpiatipo,,,pending_manual,,,
47a86d6e-0b0f-442e-8dd5-d1c3fa74012e,SKU-479171A7EE,Pulsera ojito,,,pending_manual,,,
307620f3-5f74-4cb2-b3be-bf12fbc356fa,SKU-8601F96067,Puntero,,,pending_manual,,,
d05b5b8c-a934-4633-a7fb-fbf21d46fa9b,SKU-67EC263080,Regla expandible,,,assign_high_confidence,Regla,5,phrase_match
c09dc773-592f-4775-92d4-8a50f0c2bdd4,SKU-56432F1B7F,Resaltador a Colores,,,assign_high_confidence,Resaltador,5,phrase_match
b021d07c-3562-488d-8b31-a5977f2bbd81,SKU-657537C0BB,Resaltador Amarillo Fosforesente,,,assign_high_confidence,Resaltador,5,phrase_match
